hips_x,hips_x,,,,hips_y,hips_y,,,,hips_z,hips_z,,,,Spine_x,Spine_x,,,,Spine_y,Spine_y,,,,Spine_z,Spine_z,,,,leftUpLeg_x,leftUpLeg_x,,,,leftUpLeg_y,leftUpLeg_y,,,,leftUpLeg_z,leftUpLeg_z,,,,leftLeg_x,leftLeg_x,,,,leftLeg_y,leftLeg_y,,,,leftLeg_z,leftLeg_z,,,,leftFoot_x,leftFoot_x,,,,leftFoot_y,leftFoot_y,,,,leftFoot_z,leftFoot_z,,,,rightUpLeg_x,rightUpLeg_x,,,,rightUpLeg_y,rightUpLeg_y,,,,rightUpLeg_z,rightUpLeg_z,,,,rightLeg_x,rightLeg_x,,,,rightLeg_y,rightLeg_y,,,,rightLeg_z,rightLeg_z,,,,rightFoot_x,rightFoot_x,,,,rightFoot_y,rightFoot_y,,,,rightFoot_z,rightFoot_z,,,
1.998884,-2.73E-05,2.00E+00,4.00E+00,,7.600307,0,7.600307,57.76466649,,355.4861,0,355.4861,126370.3673,,359.4038,5.46E-05,3.59E+02,1.29E+05,,358.4863,7.83E-19,3.58E+02,1.29E+05,,182.6574,180,2.6574,7.06177476,,354.799,0,354.799,125882.3304,,90.23614,89.99995,0.23619,0.055785716,,337.5166,0,337.5166,113917.4553,,1.546147,-0.000136604,1.546283604,2.390992983,,352.808,5.32E-11,3.53E+02,1.24E+05,,17.30559,-2.23E-05,1.73E+01,2.99E+02,,85.61385,90,-4.38615,19.23831182,,291.8573,89.99995,201.85735,40746.38975,,207.2572,0,207.2572,42955.54695,,0.2523341,0,0.2523341,0.063672498,,267.3718,270.0001,-2.6283,6.90796089,,14.07309,0,14.07309,198.0518621,,356.0886,0,356.0886,126799.091,,351.1909,0,351.1909,123335.0482,,328.3065,0,328.3065,107785.1579,,55.97854,90,-34.02146,1157.459741,,259.0771,270,-10.9229,119.3097444,,356.3878,0,356.3878,127012.264,
1.779193,-2.73E-05,1.78E+00,3.17E+00,,6.58167,0,6.58167,43.31837999,,356.2892,0,356.2892,126941.994,,359.417,5.46E-05,3.59E+02,1.29E+05,,358.718,7.83E-19,3.59E+02,1.29E+05,,182.4203,180,2.4203,5.85785209,,355.0544,0,355.0544,126063.627,,89.62651,89.99995,-0.37344,0.139457434,,340.5726,0,340.5726,115989.6959,,1.049895,-0.000136604,1.050031604,1.102566369,,353.5306,5.32E-11,3.54E+02,1.25E+05,,15.15487,-2.23E-05,1.52E+01,2.30E+02,,85.21635,90,-4.78365,22.88330732,,283.1574,89.99995,193.15745,37309.80049,,197.4165,0,197.4165,38973.27447,,359.6501,0,359.6501,129348.1944,,267.5665,270.0001,-2.4336,5.92240896,,15.1997,0,15.1997,231.0308801,,356.5558,0,356.5558,127132.0385,,351.4156,0,351.4156,123492.9239,,332.2751,0,332.2751,110406.7421,,58.27638,90,-31.72362,1006.388066,,259.7234,270,-10.2766,105.6085076,,356.9708,0,356.9708,127428.1521,
1.539648,-2.73E-05,1.54E+00,2.37E+00,,5.433823,0,5.433823,29.5264324,,357.0568,0,357.0568,127489.5584,,359.4595,5.46E-05,3.59E+02,1.29E+05,,358.9824,7.83E-19,3.59E+02,1.29E+05,,182.1225,180,2.1225,4.50500625,,355.4355,0,355.4355,126334.3947,,88.75945,89.99995,-1.2405,1.53884025,,343.5378,0,343.5378,118018.22,,0.5828342,-0.000136604,0.582970804,0.339854958,,354.3877,5.32E-11,3.54E+02,1.26E+05,,13.44207,-2.23E-05,1.34E+01,1.81E+02,,84.47341,90,-5.52659,30.54319703,,275.9037,89.99995,185.90375,34560.20426,,188.6933,0,188.6933,35605.16146,,359.2653,0,359.2653,129071.5558,,267.7581,270.0001,-2.242,5.026564,,15.98941,0,15.98941,255.6612321,,357.2612,0,357.2612,127635.565,,351.9137,0,351.9137,123843.2522,,336.8908,0,336.8908,113495.4111,,60.55579,90,-29.44421,866.9615025,,261.7936,270,-8.2064,67.34500096,,358.5883,0,358.5883,128585.5689,
1.320065,-2.73E-05,1.32E+00,1.74E+00,,4.335414,0,4.335414,18.79581455,,357.7809,0,357.7809,128007.1724,,359.5077,5.46E-05,3.60E+02,1.29E+05,,359.2346,7.83E-19,3.59E+02,1.29E+05,,181.8327,180,1.8327,3.35878929,,355.8625,0,355.8625,126638.1189,,87.91984,89.99995,-2.08011,4.326857612,,346.364,0,346.364,119968.0205,,0.2118956,-0.000136604,0.212032204,0.044957655,,355.2283,5.32E-11,3.55E+02,1.26E+05,,11.81036,-2.23E-05,1.18E+01,1.39E+02,,83.65375,90,-6.34625,40.27488906,,271.0577,89.99995,181.05775,32781.90884,,182.4184,0,182.4184,33276.47266,,358.9128,0,358.9128,128818.398,,267.9319,270.0001,-2.0682,4.27745124,,16.76159,0,16.76159,280.9508993,,357.9079,0,357.9079,128098.0649,,352.4986,0,352.4986,124255.263,,341.3012,0,341.3012,116486.5091,,62.62173,90,-27.37827,749.5696682,,264.2503,270,-5.7497,33.05905009,,0.5539976,0,0.5539976,0.306913341,
1.119628,-2.73E-05,1.12E+00,1.25E+00,,3.440654,0,3.440654,11.83809995,,358.2814,0,358.2814,128365.5616,,359.5883,5.46E-05,3.60E+02,1.29E+05,,359.4368,7.83E-19,3.59E+02,1.29E+05,,181.5525,180,1.5525,2.41025625,,356.2529,0,356.2529,126916.1288,,87.06103,89.99995,-2.93892,8.637250766,,348.7997,0,348.7997,121661.2307,,359.9351,-0.000136604,359.9352366,129553.3745,,355.9309,5.32E-11,3.56E+02,1.27E+05,,10.46563,-2.23E-05,1.05E+01,1.10E+02,,82.80551,90,-7.19449,51.76068636,,268.4888,89.99995,178.48885,31858.26957,,178.5007,0,178.5007,31862.4999,,358.7538,0,358.7538,128704.289,,268.046,270.0001,-1.9541,3.81850681,,17.67359,0,17.67359,312.3557835,,358.5034,0,358.5034,128524.6878,,353.3783,0,353.3783,124876.2229,,344.85,0,344.85,118921.5225,,63.54042,90,-26.45958,700.1093738,,268.1331,270,-1.8669,3.48531561,,3.594057,0,3.594057,12.91724572,
0.8728805,-2.73E-05,8.73E-01,7.62E-01,,2.364589,0,2.364589,5.591281139,,358.8771,0,358.8771,128792.7729,,359.6906,5.46E-05,3.60E+02,1.29E+05,,359.6732,7.83E-19,3.60E+02,1.29E+05,,181.1991,180,1.1991,1.43784081,,356.8063,0,356.8063,127310.7357,,85.98465,89.99995,-4.0153,16.12263409,,351.8749,0,351.8749,123815.9453,,359.6775,-0.000136604,359.6776366,129368.0023,,356.8089,5.32E-11,3.57E+02,1.27E+05,,8.703435,-2.23E-05,8.70E+00,7.58E+01,,81.74981,90,-8.25019,68.06563504,,266.6109,89.99995,176.61095,31191.42766,,174.9257,0,174.9257,30599.00052,,358.5301,0,358.5301,128543.8326,,268.1833,270.0001,-1.8168,3.30076224,,19.01043,0,19.01043,361.3964488,,359.1077,0,359.1077,128958.3402,,354.6567,0,354.6567,125781.3749,,348.9763,0,348.9763,121784.458,,64.34414,90,-25.65586,658.2231523,,272.5441,270,2.5441,6.47244481,,6.852951,0,6.852951,46.96293741,
0.6702484,-2.73E-05,6.70E-01,4.49E-01,,1.723782,0,1.723782,2.971424384,,359.201,0,359.201,129025.3584,,359.7705,5.46E-05,3.60E+02,1.29E+05,,359.7827,7.83E-19,3.60E+02,1.29E+05,,180.8914,180,0.8914,0.79459396,,357.2493,0,357.2493,127627.0624,,85.0042,89.99995,-4.99575,24.95751806,,354.6211,0,354.6211,125756.1246,,359.5573,-0.000136604,359.5574366,129281.5502,,357.452,5.32E-11,3.57E+02,1.28E+05,,6.878462,-2.23E-05,6.88E+00,4.73E+01,,81.08752,90,-8.91248,79.43229975,,266.531,89.99995,176.53105,31163.21161,,173.4036,0,173.4036,30068.80849,,358.2415,0,358.2415,128336.9723,,268.283,270.0001,-1.7171,2.94843241,,21.13441,0,21.13441,446.663286,,359.469,0,359.469,129217.962,,356.3239,0,356.3239,126966.7217,,350.6556,0,350.6556,122959.3498,,63.71556,90,-26.28444,690.8717861,,272.3914,270,2.3914,5.71879396,,5.244978,0,5.244978,27.50979422,
0.4580061,-2.73E-05,4.58E-01,2.10E-01,,1.07754,0,1.07754,1.161092452,,359.5283,0,359.5283,129260.5985,,359.8527,5.46E-05,3.60E+02,1.29E+05,,359.8904,7.83E-19,3.60E+02,1.30E+05,,180.5769,180,0.5769,0.33281361,,357.769,0,357.769,127998.6574,,83.98128,89.99995,-6.01867,36.22438857,,357.5074,0,357.5074,127811.5411,,359.5409,-0.000136604,359.5410366,129269.757,,358.1159,5.32E-11,3.58E+02,1.28E+05,,4.816938,-2.23E-05,4.82E+00,2.32E+01,,80.50802,90,-9.49198,90.09768432,,266.8313,89.99995,176.83135,31269.32634,,172.185,0,172.185,29647.67423,,357.9364,0,357.9364,128118.4664,,268.3591,270.0001,-1.641,2.692881,,23.18182,0,23.18182,537.3967785,,359.7531,0,359.7531,129422.293,,358.0157,0,358.0157,128175.2414,,352.5459,0,352.5459,124288.6116,,63.21351,90,-26.78649,717.5160465,,272.0528,270,2.0528,4.21398784,,3.433474,0,3.433474,11.78874371,
0.2015187,-2.73E-05,2.02E-01,4.06E-02,,0.4662027,0,0.4662027,0.217344957,,359.8337,0,359.8337,129480.2917,,359.9377,5.46E-05,3.60E+02,1.30E+05,,359.9656,7.83E-19,3.60E+02,1.30E+05,,180.218,180,0.218,0.047524,,358.3254,0,358.3254,128397.0923,,82.34245,89.99995,-7.6575,58.63730625,,1.911592,0,1.911592,3.654183974,,359.9196,-0.000136604,359.9197366,129542.2168,,358.8413,5.32E-11,3.59E+02,1.29E+05,,0.09979836,-2.23E-05,9.98E-02,9.96E-03,,81.11798,90,-8.88202,78.89027928,,269.2786,89.99995,179.27865,32140.83435,,172.3739,0,172.3739,29712.7614,,357.6264,0,357.6264,127896.642,,268.3021,270.0001,-1.698,2.883204,,23.98336,0,23.98336,575.2015569,,359.9373,0,359.9373,129554.8599,,359.5827,0,359.5827,129299.7181,,356.6893,0,356.6893,127227.2567,,64.49431,90,-25.50569,650.5402224,,268.1779,270,-1.8221,3.32004841,,358.0822,0,358.0822,128222.862,
359.8815,-2.73E-05,3.60E+02,1.30E+05,,359.5665,0,359.5665,129288.0679,,0.758631,0,0.758631,0.575520994,,0.05972563,5.46E-05,5.97E-02,3.56E-03,,0.04947378,7.83E-19,4.95E-02,2.45E-03,,179.7495,180,-0.2505,0.06275025,,0.9599226,0,0.9599226,0.921451398,,82.52309,89.99995,-7.47686,55.90343546,,1.721431,0,1.721431,2.963324688,,358.7162,-0.000136604,358.7163366,128677.4101,,1.52873,5.32E-11,1.53E+00,2.34E+00,,7.848813,-2.23E-05,7.85E+00,6.16E+01,,88.66793,90,-1.33207,1.774410485,,249.7798,89.99995,159.77985,25529.60047,,150.9422,0,150.9422,22783.54774,,357.0764,0,357.0764,127503.5554,,268.5516,270.0001,-1.4485,2.09815225,,24.97018,0,24.97018,623.5098892,,0.00328928,0,0.00328928,1.08E-05,,0.9711949,0,0.9711949,0.943219534,,355.8376,0,355.8376,126620.3976,,62.47006,90,-27.52994,757.8975964,,269.4586,270,-0.5414,0.29311396,,358.474,0,358.474,128503.6087,
